,PtxID,trial,group,Phase,MeanAbsErr
0,AC255458104IA833,0,Reward,Baseline,57.41841215
1,AC255458104IA833,1,Reward,Baseline,19.80954857
2,AC255458104IA833,2,Reward,Baseline,3.02178232
3,AC255458104IA833,3,Reward,Baseline,33.46359116
4,AC255458104IA833,5,Reward,Baseline,63.15489875
5,Ai275415234NZ493,0,Reward,Baseline,49.76390949
6,Ai275415234NZ493,1,Reward,Baseline,20.77045417
7,Ai275415234NZ493,2,Reward,Baseline,20.34796091
8,Ai275415234NZ493,3,Reward,Baseline,18.00871769
9,Ai275415234NZ493,4,Reward,Baseline,20.36285863
10,Ai275415234NZ493,5,Reward,Baseline,17.72244347
11,Ai275415234NZ493,6,Reward,Baseline,18.30146574
12,Ai275415234NZ493,7,Reward,Baseline,15.41415886
13,Ai275415234NZ493,8,Reward,Baseline,18.20236613
14,Ai275415234NZ493,9,Reward,Baseline,17.86161806
15,Ai275415234NZ493,10,Reward,Baseline,16.85025117
16,Ai275415234NZ493,11,Reward,Baseline,17.49754289
17,Ai275415234NZ493,12,Reward,Baseline,41.33024704
18,Ai275415234NZ493,13,Reward,Baseline,46.55098891
19,Ai275415234NZ493,14,Reward,Baseline,41.63224473
20,Ai275415234NZ493,19,Reward,Baseline,32.79714286
21,Ai275415234NZ493,20,Reward,Adaptation,37.26846463
22,Ai275415234NZ493,21,Reward,Adaptation,35.6188833
23,Ai275415234NZ493,22,Reward,Adaptation,34.58794254
24,Ai275415234NZ493,23,Reward,Adaptation,38.1639116
25,Ai275415234NZ493,24,Reward,Adaptation,30.84245083
26,Ai275415234NZ493,25,Reward,Adaptation,33.37322517
27,Ai275415234NZ493,31,Reward,Adaptation,27.85281878
28,Ai275415234NZ493,32,Reward,Adaptation,18.09267213
29,Ai275415234NZ493,33,Reward,Adaptation,35.67313333
30,Ai275415234NZ493,34,Reward,Adaptation,39.51363308
31,Ai275415234NZ493,35,Reward,Adaptation,53.63043396
32,Ai275415234NZ493,36,Reward,Adaptation,32.54366026
33,Ai275415234NZ493,37,Reward,Adaptation,28.79411838
34,Ai275415234NZ493,38,Reward,Adaptation,32.83833149
35,Ai275415234NZ493,39,Reward,Adaptation,28.20797937
36,Ai275415234NZ493,40,Reward,Adaptation,33.53436405
37,Ai275415234NZ493,41,Reward,Washout,19.91232727
38,Ai275415234NZ493,42,Reward,Washout,23.65551647
39,Ai275415234NZ493,43,Reward,Washout,18.59191611
40,Ai275415234NZ493,44,Reward,Washout,17.89751667
41,Ai275415234NZ493,45,Reward,Washout,19.35414033
42,Ai275415234NZ493,46,Reward,Washout,20.73160552
43,Ai275415234NZ493,47,Reward,Washout,11.76045882
44,Ai275415234NZ493,48,Reward,Washout,13.38528302
45,Ai275415234NZ493,49,Reward,Washout,17.17951934
46,Ai275415234NZ493,50,Reward,Washout,18.79373941
47,Ai275415234NZ493,51,Reward,Washout,17.20956022
48,Ai275415234NZ493,52,Reward,Washout,16.830125
49,CL78462911bI451,0,NoReward,Baseline,49.66186093
50,CL78462911bI451,1,NoReward,Baseline,33.89550718
51,CL78462911bI451,2,NoReward,Baseline,29.45583978
52,CL78462911bI451,3,NoReward,Baseline,27.25101215
53,CL78462911bI451,4,NoReward,Baseline,22.36732265
54,CL78462911bI451,5,NoReward,Baseline,29.91138232
55,CL78462911bI451,6,NoReward,Baseline,21.26879669
56,CL78462911bI451,7,NoReward,Baseline,24.34335359
57,CL78462911bI451,8,NoReward,Baseline,26.64361657
58,CL78462911bI451,9,NoReward,Baseline,18.91254475
59,CL78462911bI451,10,NoReward,Baseline,16.29174696
60,CL78462911bI451,11,NoReward,Baseline,13.68013135
61,CL78462911bI451,12,NoReward,Baseline,38.28133481
62,CL78462911bI451,13,NoReward,Baseline,46.89797127
63,CL78462911bI451,14,NoReward,Baseline,34.09362583
64,CL78462911bI451,15,NoReward,Baseline,40.21704199
65,CL78462911bI451,16,NoReward,Baseline,39.57251492
66,CL78462911bI451,17,NoReward,Baseline,38.12296909
67,CL78462911bI451,18,NoReward,Baseline,35.12422652
68,CL78462911bI451,19,NoReward,Baseline,54.8797989
69,CL78462911bI451,20,NoReward,Adaptation,33.30447903
70,CL78462911bI451,21,NoReward,Adaptation,28.33083094
71,CL78462911bI451,22,NoReward,Adaptation,27.16690608
72,CL78462911bI451,23,NoReward,Adaptation,28.4873326
73,CL78462911bI451,24,NoReward,Adaptation,26.52192818
74,CL78462911bI451,25,NoReward,Adaptation,25.6069779
75,CL78462911bI451,26,NoReward,Adaptation,30.88815265
76,CL78462911bI451,27,NoReward,Adaptation,21.83012376
77,CL78462911bI451,28,NoReward,Adaptation,23.74879227
78,CL78462911bI451,29,NoReward,Adaptation,28.75225525
79,CL78462911bI451,30,NoReward,Adaptation,24.41501989
80,CL78462911bI451,31,NoReward,Adaptation,29.576766
81,CL78462911bI451,32,NoReward,Adaptation,21.45846689
82,CL78462911bI451,33,NoReward,Adaptation,21.66681768
83,CL78462911bI451,34,NoReward,Adaptation,31.78250497
84,CL78462911bI451,35,NoReward,Adaptation,25.09441105
85,CL78462911bI451,36,NoReward,Adaptation,36.51967403
86,CL78462911bI451,37,NoReward,Adaptation,25.76849282
87,CL78462911bI451,38,NoReward,Adaptation,21.41490387
88,CL78462911bI451,39,NoReward,Adaptation,37.27512265
89,CL78462911bI451,40,NoReward,Adaptation,32.74856022
90,CL78462911bI451,41,NoReward,Washout,24.8710287
91,CL78462911bI451,42,NoReward,Washout,23.25674365
92,CL78462911bI451,43,NoReward,Washout,17.67161258
93,CL78462911bI451,44,NoReward,Washout,14.09281436
94,CL78462911bI451,45,NoReward,Washout,18.6761989
95,CL78462911bI451,46,NoReward,Washout,15.94045193
96,CL78462911bI451,47,NoReward,Washout,11.55714128
97,CL78462911bI451,48,NoReward,Washout,12.06455138
98,CL78462911bI451,49,NoReward,Washout,19.17977459
99,CL78462911bI451,50,NoReward,Washout,14.03762031
100,CL78462911bI451,51,NoReward,Washout,15.65352155
101,CL78462911bI451,52,NoReward,Washout,18.02783315
102,Ch285298221IQ296,0,Reward,Baseline,25.83855188
103,Ch285298221IQ296,1,Reward,Baseline,17.21572059
104,Ch285298221IQ296,2,Reward,Baseline,12.56415135
105,Ch285298221IQ296,3,Reward,Baseline,14.27321584
106,Ch285298221IQ296,4,Reward,Baseline,18.27981545
107,Ch285298221IQ296,5,Reward,Baseline,18.87797744
108,Ch285298221IQ296,6,Reward,Baseline,15.69778417
109,Ch285298221IQ296,7,Reward,Baseline,17.49133284
110,Ch285298221IQ296,8,Reward,Baseline,17.54885714
111,Ch285298221IQ296,9,Reward,Baseline,25.62124511
112,Ch285298221IQ296,10,Reward,Baseline,14.64257225
113,Ch285298221IQ296,11,Reward,Baseline,15.12501767
114,Ch285298221IQ296,12,Reward,Baseline,42.65056667
115,Ch285298221IQ296,13,Reward,Baseline,24.74177861
116,Ch285298221IQ296,14,Reward,Baseline,24.2686189
117,Ch285298221IQ296,15,Reward,Baseline,20.30978539
118,Ch285298221IQ296,16,Reward,Baseline,30.77486399
119,Ch285298221IQ296,17,Reward,Baseline,24.28557333
