,index,PtxID,Group,MAE_Chunk,Chunk
0,0,vn265606624Yv403,NoReward,,14
1,1,vn265606624Yv403,NoReward,,26
2,0,kL32782760pb805,Reward,11.93609771764053,14
3,1,kL32782760pb805,Reward,14.404535098118131,26
4,0,Ai275415234NZ493,Reward,33.69322069157617,14
5,1,Ai275415234NZ493,Reward,33.61735017800473,26
6,0,CL78462911bI451,NoReward,33.394667026758384,14
7,1,CL78462911bI451,NoReward,26.62530858462084,26
8,0,XY13546991Od507,NoReward,36.84694460975328,14
9,1,XY13546991Od507,NoReward,36.79673429423854,26
10,0,iA94696354Ww734,NoReward,26.736457188266073,14
11,1,iA94696354Ww734,NoReward,23.923295154311955,26
12,0,UJ22372929Ma480,NoReward,,14
13,1,UJ22372929Ma480,NoReward,,26
14,0,nN48787345GM446,Reward,,14
15,1,nN48787345GM446,Reward,,26
16,0,rN464901337br235,Reward,23.9134951986755,14
17,1,rN464901337br235,Reward,18.59241169444343,26
18,0,bK159349224Ky792,Reward,,14
19,1,bK159349224Ky792,Reward,,26
20,0,N,Reward,,14
21,1,N,Reward,,26
22,0,QJ690773638qD178,NoReward,,14
23,1,QJ690773638qD178,NoReward,,26
24,0,Y,Reward,,14
25,1,Y,Reward,,26
26,0,qX523123508pL71,Reward,22.949927590332024,14
27,1,qX523123508pL71,Reward,22.817775481381904,26
28,0,L,Reward,23.306143507982387,14
29,1,L,Reward,,26
30,0,MY493867256yh257,NoReward,25.31225382425939,14
31,1,MY493867256yh257,NoReward,25.257523773991853,26
32,0,AC255458104IA833,Reward,,14
33,1,AC255458104IA833,Reward,,26
34,0,pU265328919tM703,Reward,,14
35,1,pU265328919tM703,Reward,,26
36,0,jh809396928Su223,Reward,32.20302535511706,14
37,1,jh809396928Su223,Reward,,26
38,0,sV262240837Wu893,Reward,14.075524387150182,14
39,1,sV262240837Wu893,Reward,,26
40,0,uL709664845pY57,Reward,,14
41,1,uL709664845pY57,Reward,,26
42,0,Di839285889sX391,Reward,25.81675964533558,14
43,1,Di839285889sX391,Reward,20.03093549723757,26
44,0,Ch285298221IQ296,Reward,24.59984710275596,14
45,1,Ch285298221IQ296,Reward,26.16876411474435,26
46,0,pV715326977Ci92,NoReward,23.85997652991397,14
47,1,pV715326977Ci92,NoReward,20.736758690358094,26
48,0,FV138309651bm4,NoReward,,14
49,1,FV138309651bm4,NoReward,,26
50,0,av821962704Np731,NoReward,,14
51,1,av821962704Np731,NoReward,,26
52,0,NN0891521Nv932,Reward,,14
53,1,NN0891521Nv932,Reward,,26
54,0,NRNFMMM589968,NoReward,,14
55,1,NRNFMMM589968,NoReward,,26
56,0,ML52766852sX612,NoReward,,14
57,1,ML52766852sX612,NoReward,,26
58,0,Hv578899179Yv8,NoReward,17.19642914927709,14
59,1,Hv578899179Yv8,NoReward,,26
60,0,PS940208551QF590,Reward,20.936813710884508,14
61,1,PS940208551QF590,Reward,18.76592729402708,26
62,0,wQ432254460Cm818,NoReward,20.22977465731074,14
63,1,wQ432254460Cm818,NoReward,19.922249695334834,26
64,0,Wr404947346qM443,NoReward,,14
65,1,Wr404947346qM443,NoReward,,26
66,0,Nr746161853dz70,NoReward,,14
67,1,Nr746161853dz70,NoReward,,26
68,0,fk560962752EX865,NoReward,,14
69,1,fk560962752EX865,NoReward,,26
70,0,bK933906299Id748,Reward,29.43946127388966,14
71,1,bK933906299Id748,Reward,35.108707797219594,26
72,0,gz873989828sw827,Reward,,14
73,1,gz873989828sw827,Reward,,26
74,0,gg646183622lq862,NoReward,32.520660085541095,14
75,1,gg646183622lq862,NoReward,22.86373259401668,26
76,0,Vg620975542yx459,NoReward,21.86446518224117,14
77,1,Vg620975542yx459,NoReward,18.76840083482736,26
78,0,iv952424735op998,Reward,16.65755852233454,14
79,1,iv952424735op998,Reward,14.87380635359116,26
80,0,zU983253538Tj193,NoReward,,14
81,1,zU983253538Tj193,NoReward,,26
82,0,te60281288Gj243,Reward,,14
83,1,te60281288Gj243,Reward,,26
84,0,Bm668184579LL501,NoReward,16.956332524463875,14
85,1,Bm668184579LL501,NoReward,14.33635283573399,26
86,0,XK722874333VL212,NoReward,38.35493668126735,14
87,1,XK722874333VL212,NoReward,,26
88,0,WC247803994GF657,NoReward,28.670924033545838,14
89,1,WC247803994GF657,NoReward,28.176241111043506,26
90,0,An789876880Um49,NoReward,,14
91,1,An789876880Um49,NoReward,,26
92,0,FG422120767Wz20,NoReward,,14
93,1,FG422120767Wz20,NoReward,,26
94,0,pO78426161Oe999,Reward,48.955332241970694,14
95,1,pO78426161Oe999,Reward,,26
96,0,MF,NoReward,,14
97,1,MF,NoReward,,26
98,0,OX377652340OK228,NoReward,38.37213736158647,14
99,1,OX377652340OK228,NoReward,,26
100,0,Ac951310807Ba369,NoReward,39.96704200282342,14
101,1,Ac951310807Ba369,NoReward,47.520023893655555,26
102,0,bD315366166XI81,Reward,28.97247419913024,14
103,1,bD315366166XI81,Reward,32.085452813751765,26
104,0,pP523446637hf604,NoReward,,14
105,1,pP523446637hf604,NoReward,,26
106,0,pZ714559851sE51,NoReward,28.131938144067462,14
107,1,pZ714559851sE51,NoReward,20.326781735909115,26
108,0,Md97898857lx914,NoReward,36.24716066298343,14
109,1,Md97898857lx914,NoReward,,26
110,0,EE288981452fb406,NoReward,60.882458181818194,14
111,1,EE288981452fb406,NoReward,,26
112,0,lA76851177un272,NoReward,,14
113,1,lA76851177un272,NoReward,,26
114,0,mt742485739Iw200,Reward,25.980479148982234,14
115,1,mt742485739Iw200,Reward,25.7952452698706,26
