,PtxID,Group,MAE_Chunk,Chunk
0,vn265606624Yv403,NoReward,,14
1,vn265606624Yv403,NoReward,,17
2,vn265606624Yv403,NoReward,,20
3,vn265606624Yv403,NoReward,,23
4,vn265606624Yv403,NoReward,,26
5,vn265606624Yv403,NoReward,,29
6,vn265606624Yv403,NoReward,,32
7,vn265606624Yv403,NoReward,,35
8,vn265606624Yv403,NoReward,,38
0,kL32782760pb805,Reward,11.632846771762695,14
1,kL32782760pb805,Reward,13.27093375422292,17
2,kL32782760pb805,Reward,13.522220012196163,20
3,kL32782760pb805,Reward,14.20228553705804,23
4,kL32782760pb805,Reward,14.905049956947545,26
5,kL32782760pb805,Reward,14.651199680704451,29
6,kL32782760pb805,Reward,13.832887292817679,32
7,kL32782760pb805,Reward,13.216337016574585,35
8,kL32782760pb805,Reward,11.905886660812508,38
0,Ai275415234NZ493,Reward,32.19953261385619,14
1,Ai275415234NZ493,Reward,37.21655016046822,17
2,Ai275415234NZ493,Reward,32.42706451695123,20
3,Ai275415234NZ493,Reward,34.42738816902013,23
4,Ai275415234NZ493,Reward,33.05200059585328,26
5,Ai275415234NZ493,Reward,32.830349766911425,29
6,Ai275415234NZ493,Reward,25.532987040188836,32
7,Ai275415234NZ493,Reward,20.703110764096227,35
8,Ai275415234NZ493,Reward,17.85592559209379,38
0,CL78462911bI451,NoReward,32.11941074847853,14
1,CL78462911bI451,NoReward,38.88247932884515,17
2,CL78462911bI451,NoReward,35.17280282341176,20
3,CL78462911bI451,NoReward,31.21407565454433,23
4,CL78462911bI451,NoReward,26.574831950569603,26
5,CL78462911bI451,NoReward,25.446530046382655,29
6,CL78462911bI451,NoReward,26.484483178685984,32
7,CL78462911bI451,NoReward,27.497217985315825,35
8,CL78462911bI451,NoReward,28.039825963679828,38
0,XY13546991Od507,NoReward,35.95305712426671,14
1,XY13546991Od507,NoReward,40.59073292537168,17
2,XY13546991Od507,NoReward,37.08976343541522,20
3,XY13546991Od507,NoReward,37.20787825216787,23
4,XY13546991Od507,NoReward,36.80110511494884,26
5,XY13546991Od507,NoReward,39.10878776005269,29
6,XY13546991Od507,NoReward,40.307541739050905,32
7,XY13546991Od507,NoReward,41.37179918566219,35
8,XY13546991Od507,NoReward,38.314649106143214,38
0,iA94696354Ww734,NoReward,25.770101330723357,14
1,iA94696354Ww734,NoReward,28.216199451538547,17
2,iA94696354Ww734,NoReward,22.575579000402477,20
3,iA94696354Ww734,NoReward,21.901770377593213,23
4,iA94696354Ww734,NoReward,26.149207062676084,26
5,iA94696354Ww734,NoReward,27.69056742490212,29
6,iA94696354Ww734,NoReward,27.66748124620395,32
7,iA94696354Ww734,NoReward,26.69191671581721,35
8,iA94696354Ww734,NoReward,22.605495911602212,38
0,UJ22372929Ma480,NoReward,,14
1,UJ22372929Ma480,NoReward,,17
2,UJ22372929Ma480,NoReward,,20
3,UJ22372929Ma480,NoReward,,23
4,UJ22372929Ma480,NoReward,,26
5,UJ22372929Ma480,NoReward,,29
6,UJ22372929Ma480,NoReward,,32
7,UJ22372929Ma480,NoReward,,35
8,UJ22372929Ma480,NoReward,,38
0,nN48787345GM446,Reward,,14
1,nN48787345GM446,Reward,,17
2,nN48787345GM446,Reward,,20
3,nN48787345GM446,Reward,,23
4,nN48787345GM446,Reward,,26
5,nN48787345GM446,Reward,,29
6,nN48787345GM446,Reward,,32
7,nN48787345GM446,Reward,,35
8,nN48787345GM446,Reward,,38
0,rN464901337br235,Reward,23.81420776115034,14
1,rN464901337br235,Reward,26.13920113131609,17
2,rN464901337br235,Reward,23.373489625333868,20
3,rN464901337br235,Reward,21.907589648628544,23
4,rN464901337br235,Reward,18.478339297379044,26
